Date,SalesPerson,Region,Category,Product,Quantity,UnitPrice,Sales
2025-04-25,Henry,East,Electronics,Monitor,9,300,2700
2025-12-10,Carlos,South,Furniture,Desk,1,450,450
2025-07-09,Grace,West,Furniture,Office Chair,1,220,220
2025-02-21,Carlos,West,Furniture,Bookshelf,9,180,1620
2025-11-24,Brian,West,Electronics,Monitor,8,300,2400
2025-03-17,Alice,South,Office Supplies,Paper,9,15,135
2025-03-16,Diana,East,Electronics,Monitor,9,300,2700
2025-07-22,Alice,West,Office Supplies,Paper,6,15,90
2025-01-16,Grace,South,Office Supplies,Notebook,8,8,64
2025-07-22,Brian,East,Furniture,Office Chair,4,220,880
2025-03-11,Diana,East,Electronics,Mouse,7,35,245
2025-12-17,Emily,East,Electronics,Monitor,9,300,2700
2025-12-15,Grace,South,Office Supplies,Paper,3,15,45
2025-08-10,Brian,South,Office Supplies,Notebook,4,8,32
2025-01-19,Carlos,North,Electronics,Keyboard,6,50,300
2025-10-18,Emily,West,Office Supplies,Pen Pack,9,12,108
2025-08-23,Henry,East,Electronics,Monitor,4,300,1200
2025-06-29,Carlos,North,Furniture,Desk,8,450,3600
2025-04-10,Carlos,East,Electronics,Mouse,9,35,315
2025-06-03,Grace,West,Office Supplies,Paper,7,15,105
2025-04-25,Henry,East,Office Supplies,Notebook,8,8,64
2025-05-07,Emily,North,Electronics,Mouse,1,35,35
2025-11-01,Brian,North,Furniture,Desk,10,450,4500
2025-08-25,Diana,North,Office Supplies,Notebook,7,8,56
2025-02-03,Henry,West,Office Supplies,Calculator,1,40,40
2025-01-13,Diana,West,Office Supplies,Paper,8,15,120
2025-01-31,Brian,West,Furniture,Bookshelf,10,180,1800
2025-12-14,Carlos,North,Office Supplies,Notebook,2,8,16
2025-05-08,Brian,West,Furniture,Office Chair,1,220,220
2025-02-21,Brian,West,Office Supplies,Pen Pack,9,12,108
2025-12-17,Diana,East,Office Supplies,Calculator,9,40,360
2025-11-30,Emily,East,Office Supplies,Paper,3,15,45
2025-03-03,Brian,North,Furniture,Bookshelf,1,180,180
2025-01-29,Brian,South,Electronics,Monitor,7,300,2100
2025-10-15,Grace,West,Furniture,Bookshelf,1,180,180
2025-04-12,Frank,East,Electronics,Printer,2,250,500
2025-08-21,Henry,East,Electronics,Printer,6,250,1500
2025-05-25,Grace,East,Electronics,Printer,7,250,1750
2025-10-28,Emily,South,Office Supplies,Pen Pack,1,12,12
2025-04-19,Frank,South,Electronics,Printer,4,250,1000
2025-09-06,Brian,South,Electronics,Mouse,8,35,280
2025-06-02,Henry,North,Furniture,Office Chair,7,220,1540
2025-09-19,Diana,South,Office Supplies,Notebook,9,8,72
2025-06-24,Carlos,East,Office Supplies,Calculator,9,40,360
2025-02-18,Grace,East,Office Supplies,Notebook,3,8,24
2025-09-07,Grace,North,Electronics,Mouse,5,35,175
2025-09-21,Grace,West,Furniture,Office Chair,9,220,1980
2025-04-01,Grace,East,Office Supplies,Calculator,10,40,400
2025-04-05,Alice,South,Electronics,Printer,8,250,2000
2025-02-09,Grace,South,Furniture,Office Chair,6,220,1320
2025-09-26,Grace,North,Electronics,Printer,2,250,500
2025-12-30,Diana,West,Furniture,Desk,2,450,900
2025-12-08,Henry,East,Electronics,Keyboard,2,50,100
2025-03-26,Grace,South,Office Supplies,Calculator,5,40,200
2025-09-26,Diana,West,Electronics,Monitor,6,300,1800
2025-01-19,Brian,West,Office Supplies,Notebook,5,8,40
2025-06-29,Grace,North,Electronics,Laptop,2,1200,2400
2025-10-20,Diana,East,Electronics,Monitor,9,300,2700
2025-06-02,Frank,East,Office Supplies,Pen Pack,1,12,12
2025-01-24,Emily,South,Office Supplies,Calculator,7,40,280
2025-08-13,Carlos,North,Office Supplies,Calculator,7,40,280
2025-06-23,Diana,North,Electronics,Printer,2,250,500
2025-08-22,Henry,East,Furniture,Desk,1,450,450
2025-06-01,Henry,North,Electronics,Keyboard,9,50,450
2025-10-11,Grace,West,Electronics,Keyboard,9,50,450
2025-06-21,Emily,South,Office Supplies,Notebook,6,8,48
2025-06-17,Henry,North,Furniture,Bookshelf,9,180,1620
2025-12-21,Carlos,East,Electronics,Monitor,1,300,300
2025-07-07,Diana,North,Electronics,Mouse,9,35,315
2025-02-14,Emily,East,Electronics,Monitor,2,300,600
2025-01-02,Carlos,West,Electronics,Mouse,8,35,280
2025-07-02,Henry,East,Electronics,Printer,2,250,500
2025-10-04,Grace,South,Furniture,Office Chair,9,220,1980
2025-09-05,Carlos,East,Electronics,Printer,3,250,750
2025-10-11,Emily,West,Office Supplies,Paper,5,15,75
2025-11-07,Carlos,East,Electronics,Monitor,10,300,3000
2025-10-13,Diana,West,Office Supplies,Paper,2,15,30
2025-11-26,Alice,East,Electronics,Printer,5,250,1250
2025-08-04,Frank,West,Office Supplies,Paper,5,15,75
2025-12-26,Henry,East,Furniture,Office Chair,7,220,1540
2025-03-18,Carlos,East,Electronics,Mouse,4,35,140
2025-10-23,Frank,North,Furniture,Office Chair,6,220,1320
2025-04-03,Henry,North,Electronics,Monitor,3,300,900
2025-06-22,Emily,East,Electronics,Mouse,9,35,315
2025-05-29,Carlos,West,Office Supplies,Paper,8,15,120
2025-09-26,Brian,North,Electronics,Mouse,8,35,280
2025-10-20,Henry,East,Furniture,Desk,7,450,3150
2025-09-24,Alice,West,Electronics,Printer,1,250,250
2025-10-20,Carlos,South,Office Supplies,Paper,9,15,135
2025-01-20,Frank,East,Office Supplies,Notebook,10,8,80
2025-08-01,Alice,North,Office Supplies,Pen Pack,6,12,72
2025-05-08,Emily,West,Electronics,Monitor,1,300,300
2025-07-04,Diana,West,Electronics,Monitor,9,300,2700
2025-12-22,Carlos,East,Office Supplies,Pen Pack,2,12,24
2025-08-08,Brian,West,Office Supplies,Notebook,10,8,80
2025-09-28,Henry,East,Office Supplies,Pen Pack,5,12,60
2025-01-21,Carlos,North,Electronics,Printer,8,250,2000
2025-05-26,Alice,North,Office Supplies,Paper,2,15,30
2025-08-20,Henry,East,Furniture,Desk,1,450,450
2025-09-04,Henry,East,Electronics,Mouse,2,35,70
2025-06-27,Henry,West,Furniture,Desk,5,450,2250
2025-08-08,Diana,South,Office Supplies,Notebook,1,8,8
2025-11-13,Brian,North,Furniture,Office Chair,10,220,2200
2025-04-20,Emily,East,Electronics,Mouse,6,35,210
2025-04-16,Emily,East,Electronics,Laptop,10,1200,12000
2025-12-03,Emily,West,Office Supplies,Calculator,4,40,160
2025-02-06,Henry,West,Electronics,Keyboard,8,50,400
2025-07-27,Henry,North,Office Supplies,Pen Pack,7,12,84
2025-05-04,Diana,South,Electronics,Mouse,10,35,350
2025-08-21,Carlos,South,Furniture,Desk,9,450,4050
2025-09-21,Carlos,North,Electronics,Keyboard,6,50,300
2025-07-02,Henry,East,Office Supplies,Paper,9,15,135
2025-02-11,Diana,North,Electronics,Mouse,10,35,350
2025-07-18,Frank,North,Electronics,Mouse,4,35,140
2025-11-06,Grace,North,Furniture,Desk,4,450,1800
2025-09-22,Henry,South,Office Supplies,Paper,6,15,90
2025-06-08,Brian,West,Furniture,Desk,10,450,4500
2025-07-26,Carlos,South,Electronics,Keyboard,5,50,250
2025-03-27,Alice,West,Office Supplies,Pen Pack,10,12,120
2025-11-16,Grace,East,Electronics,Mouse,5,35,175
2025-02-11,Brian,East,Electronics,Laptop,8,1200,9600
2025-08-05,Emily,West,Furniture,Office Chair,6,220,1320
2025-10-06,Alice,North,Office Supplies,Paper,10,15,150
2025-01-10,Diana,South,Office Supplies,Paper,6,15,90
2025-05-11,Diana,East,Office Supplies,Calculator,3,40,120
2025-05-12,Brian,East,Electronics,Mouse,1,35,35
2025-06-09,Alice,North,Furniture,Desk,4,450,1800
2025-05-10,Emily,North,Furniture,Office Chair,3,220,660
2025-10-04,Carlos,West,Office Supplies,Pen Pack,5,12,60
2025-05-05,Grace,South,Furniture,Bookshelf,8,180,1440
2025-03-12,Emily,South,Electronics,Printer,3,250,750
2025-01-08,Emily,East,Electronics,Laptop,6,1200,7200
2025-11-02,Frank,South,Office Supplies,Paper,1,15,15
2025-10-14,Brian,East,Office Supplies,Paper,6,15,90
2025-03-05,Carlos,South,Office Supplies,Paper,8,15,120
2025-12-02,Emily,West,Electronics,Printer,10,250,2500
2025-09-08,Diana,East,Electronics,Printer,1,250,250
2025-04-30,Diana,East,Electronics,Printer,3,250,750
2025-02-19,Frank,North,Electronics,Mouse,4,35,140
2025-08-23,Diana,West,Furniture,Bookshelf,8,180,1440
2025-06-02,Diana,West,Office Supplies,Paper,5,15,75
2025-05-09,Alice,North,Electronics,Monitor,5,300,1500
2025-06-18,Grace,South,Office Supplies,Paper,8,15,120
2025-05-06,Alice,East,Electronics,Keyboard,8,50,400
2025-01-15,Alice,East,Electronics,Mouse,1,35,35
2025-08-01,Brian,South,Office Supplies,Paper,9,15,135
2025-12-07,Henry,North,Electronics,Laptop,9,1200,10800
2025-12-04,Grace,West,Furniture,Office Chair,6,220,1320
2025-08-31,Henry,South,Furniture,Office Chair,4,220,880
2025-02-08,Carlos,East,Electronics,Printer,10,250,2500
2025-02-03,Diana,East,Furniture,Desk,3,450,1350
2025-01-17,Alice,West,Electronics,Printer,7,250,1750
2025-07-08,Brian,East,Office Supplies,Notebook,8,8,64
2025-03-17,Brian,North,Electronics,Keyboard,4,50,200
2025-07-31,Emily,East,Office Supplies,Paper,2,15,30
2025-11-05,Brian,South,Electronics,Laptop,8,1200,9600
2025-04-21,Emily,East,Electronics,Keyboard,7,50,350
2025-10-08,Frank,West,Electronics,Mouse,10,35,350
2025-11-11,Emily,East,Electronics,Printer,1,250,250
2025-01-30,Brian,East,Office Supplies,Paper,9,15,135
2025-06-04,Alice,East,Electronics,Keyboard,1,50,50
2025-11-03,Brian,South,Office Supplies,Notebook,4,8,32
2025-01-19,Emily,East,Electronics,Laptop,4,1200,4800
2025-09-15,Emily,North,Furniture,Office Chair,6,220,1320
2025-09-08,Diana,East,Office Supplies,Notebook,6,8,48
2025-07-26,Carlos,South,Office Supplies,Pen Pack,9,12,108
2025-11-21,Alice,North,Electronics,Mouse,8,35,280
2025-08-28,Alice,South,Office Supplies,Notebook,4,8,32
2025-02-23,Brian,East,Electronics,Printer,4,250,1000
2025-02-22,Alice,North,Electronics,Laptop,10,1200,12000
2025-11-22,Carlos,South,Office Supplies,Paper,2,15,30
2025-12-17,Carlos,East,Electronics,Monitor,6,300,1800
2025-05-30,Emily,North,Office Supplies,Pen Pack,7,12,84
2025-11-30,Alice,West,Office Supplies,Pen Pack,7,12,84
2025-01-27,Diana,East,Office Supplies,Pen Pack,3,12,36
2025-01-08,Henry,East,Electronics,Laptop,8,1200,9600
2025-10-12,Brian,West,Office Supplies,Calculator,3,40,120
2025-06-27,Brian,East,Office Supplies,Notebook,3,8,24
2025-03-23,Brian,East,Electronics,Keyboard,9,50,450
2025-10-07,Brian,South,Office Supplies,Calculator,10,40,400
2025-06-08,Carlos,South,Furniture,Desk,10,450,4500
2025-03-08,Carlos,East,Office Supplies,Paper,3,15,45
2025-10-20,Grace,South,Furniture,Bookshelf,6,180,1080
2025-11-15,Brian,East,Electronics,Mouse,10,35,350
2025-07-19,Frank,North,Office Supplies,Paper,8,15,120
2025-06-28,Grace,West,Electronics,Mouse,2,35,70
2025-05-20,Diana,West,Electronics,Mouse,3,35,105
2025-07-27,Frank,South,Office Supplies,Paper,5,15,75
2025-08-22,Grace,South,Office Supplies,Calculator,9,40,360
2025-09-07,Alice,North,Office Supplies,Calculator,9,40,360
2025-08-30,Henry,West,Furniture,Bookshelf,2,180,360
2025-07-19,Alice,South,Furniture,Bookshelf,7,180,1260
2025-10-02,Carlos,West,Furniture,Bookshelf,8,180,1440
2025-10-30,Grace,East,Office Supplies,Calculator,4,40,160
2025-07-08,Diana,South,Furniture,Office Chair,4,220,880
2025-08-16,Henry,North,Office Supplies,Paper,1,15,15
2025-06-27,Frank,North,Electronics,Keyboard,7,50,350
2025-08-19,Henry,South,Office Supplies,Notebook,2,8,16
2025-05-19,Henry,West,Electronics,Laptop,10,1200,12000
2025-04-16,Emily,South,Electronics,Monitor,10,300,3000
2025-04-02,Alice,West,Electronics,Laptop,5,1200,6000
2025-10-07,Henry,South,Furniture,Bookshelf,8,180,1440
2025-10-02,Frank,West,Electronics,Printer,4,250,1000
2025-05-07,Brian,North,Office Supplies,Notebook,7,8,56
2025-03-06,Alice,West,Furniture,Office Chair,1,220,220
2025-06-30,Alice,North,Furniture,Desk,1,450,450
2025-10-02,Brian,West,Office Supplies,Notebook,8,8,64
2025-03-25,Carlos,South,Furniture,Desk,4,450,1800
2025-01-09,Henry,East,Furniture,Desk,4,450,1800
2025-04-25,Grace,West,Furniture,Desk,2,450,900
2025-04-18,Emily,West,Furniture,Bookshelf,8,180,1440
2025-09-20,Henry,East,Electronics,Keyboard,3,50,150
2025-09-05,Brian,East,Electronics,Printer,9,250,2250
2025-10-24,Henry,East,Electronics,Keyboard,7,50,350
2025-11-13,Grace,South,Electronics,Printer,7,250,1750
2025-11-08,Carlos,North,Furniture,Bookshelf,5,180,900
2025-12-08,Frank,South,Electronics,Printer,1,250,250
2025-04-08,Alice,North,Office Supplies,Calculator,7,40,280
2025-03-18,Emily,South,Furniture,Bookshelf,8,180,1440
2025-05-16,Frank,West,Electronics,Laptop,8,1200,9600
2025-09-08,Alice,South,Furniture,Office Chair,1,220,220
2025-04-21,Henry,West,Office Supplies,Pen Pack,1,12,12
2025-02-10,Brian,South,Electronics,Keyboard,1,50,50
2025-05-20,Grace,East,Electronics,Monitor,2,300,600
2025-04-26,Carlos,West,Furniture,Office Chair,2,220,440
2025-06-24,Diana,South,Electronics,Printer,6,250,1500
2025-09-18,Brian,North,Office Supplies,Calculator,3,40,120
2025-04-09,Carlos,West,Electronics,Printer,3,250,750
2025-10-12,Henry,East,Office Supplies,Pen Pack,5,12,60
2025-01-09,Carlos,East,Office Supplies,Calculator,3,40,120
2025-06-18,Frank,East,Furniture,Bookshelf,1,180,180
2025-12-30,Grace,South,Electronics,Printer,1,250,250
2025-07-18,Henry,South,Office Supplies,Calculator,5,40,200
2025-09-25,Henry,West,Electronics,Mouse,10,35,350
2025-05-30,Brian,East,Furniture,Desk,10,450,4500
2025-05-04,Frank,South,Electronics,Keyboard,9,50,450
2025-09-19,Brian,East,Furniture,Bookshelf,10,180,1800
2025-11-11,Grace,West,Office Supplies,Paper,2,15,30
2025-01-26,Alice,West,Furniture,Bookshelf,4,180,720
2025-09-26,Grace,East,Furniture,Office Chair,10,220,2200
2025-10-23,Grace,North,Furniture,Desk,10,450,4500
2025-03-19,Diana,West,Office Supplies,Paper,7,15,105
2025-02-24,Grace,East,Office Supplies,Calculator,8,40,320
2025-05-06,Diana,East,Electronics,Laptop,3,1200,3600
2025-06-06,Grace,North,Electronics,Printer,7,250,1750
2025-12-07,Diana,West,Office Supplies,Calculator,8,40,320
2025-10-15,Henry,South,Furniture,Desk,8,450,3600
2025-08-16,Henry,South,Electronics,Printer,8,250,2000
2025-01-21,Alice,West,Furniture,Office Chair,7,220,1540
2025-01-27,Emily,North,Electronics,Printer,5,250,1250
2025-04-06,Carlos,South,Furniture,Office Chair,5,220,1100
2025-09-02,Alice,North,Furniture,Desk,9,450,4050
2025-09-29,Grace,West,Electronics,Printer,1,250,250
2025-07-10,Alice,West,Electronics,Laptop,6,1200,7200
2025-02-16,Frank,South,Electronics,Printer,9,250,2250
2025-07-19,Brian,West,Electronics,Mouse,9,35,315
2025-04-25,Brian,North,Electronics,Mouse,3,35,105
2025-03-15,Diana,East,Furniture,Desk,4,450,1800
2025-10-30,Frank,North,Office Supplies,Pen Pack,7,12,84
2025-04-02,Carlos,South,Furniture,Office Chair,4,220,880
2025-01-18,Carlos,East,Electronics,Printer,10,250,2500
2025-05-01,Brian,South,Electronics,Monitor,6,300,1800
2025-09-07,Carlos,West,Electronics,Laptop,3,1200,3600
2025-04-28,Diana,East,Office Supplies,Pen Pack,5,12,60
2025-06-28,Carlos,South,Electronics,Laptop,3,1200,3600
2025-05-22,Carlos,East,Electronics,Monitor,4,300,1200
2025-01-09,Frank,West,Electronics,Mouse,7,35,245
2025-05-16,Alice,South,Office Supplies,Calculator,10,40,400
2025-10-04,Carlos,East,Furniture,Bookshelf,10,180,1800
2025-05-19,Alice,East,Electronics,Keyboard,6,50,300
2025-09-29,Carlos,North,Electronics,Laptop,4,1200,4800
2025-08-09,Brian,South,Furniture,Office Chair,2,220,440
2025-04-23,Grace,South,Office Supplies,Notebook,10,8,80
2025-01-04,Frank,West,Office Supplies,Notebook,7,8,56
2025-09-15,Diana,East,Electronics,Keyboard,7,50,350
2025-11-30,Henry,North,Furniture,Bookshelf,4,180,720
2025-07-26,Diana,North,Electronics,Mouse,9,35,315
2025-02-11,Brian,South,Electronics,Mouse,8,35,280
2025-03-09,Emily,East,Electronics,Mouse,8,35,280
2025-01-02,Grace,East,Furniture,Desk,2,450,900
2025-08-04,Brian,South,Office Supplies,Pen Pack,5,12,60
2025-04-04,Brian,East,Office Supplies,Paper,10,15,150
2025-07-07,Brian,North,Furniture,Desk,2,450,900
2025-11-25,Carlos,South,Furniture,Bookshelf,7,180,1260
2025-04-16,Brian,East,Furniture,Desk,3,450,1350
2025-02-07,Brian,South,Furniture,Bookshelf,3,180,540
2025-04-24,Carlos,West,Furniture,Office Chair,10,220,2200
2025-04-28,Brian,East,Furniture,Office Chair,3,220,660
2025-06-26,Alice,East,Furniture,Office Chair,7,220,1540
2025-05-16,Henry,North,Electronics,Monitor,9,300,2700
2025-09-28,Diana,South,Electronics,Laptop,6,1200,7200
2025-10-14,Brian,West,Furniture,Office Chair,2,220,440
2025-02-05,Brian,West,Office Supplies,Pen Pack,5,12,60
2025-07-31,Grace,South,Office Supplies,Pen Pack,3,12,36
2025-03-20,Carlos,West,Office Supplies,Notebook,2,8,16
2025-05-03,Brian,South,Office Supplies,Pen Pack,3,12,36
2025-03-22,Diana,West,Electronics,Keyboard,2,50,100
2025-11-16,Brian,North,Office Supplies,Paper,3,15,45
2025-04-02,Grace,West,Furniture,Desk,10,450,4500
2025-04-14,Brian,East,Electronics,Keyboard,3,50,150
2025-06-13,Brian,South,Office Supplies,Paper,2,15,30
2025-09-13,Henry,West,Electronics,Printer,4,250,1000
2025-06-16,Frank,West,Office Supplies,Notebook,6,8,48
2025-07-09,Henry,East,Office Supplies,Paper,9,15,135
2025-12-05,Diana,South,Office Supplies,Notebook,7,8,56
2025-07-14,Diana,East,Electronics,Printer,8,250,2000
2025-08-07,Diana,South,Furniture,Bookshelf,9,180,1620
2025-02-01,Frank,South,Electronics,Monitor,7,300,2100
2025-07-04,Frank,North,Electronics,Printer,2,250,500
2025-10-25,Brian,West,Office Supplies,Calculator,6,40,240
2025-04-21,Alice,South,Electronics,Laptop,4,1200,4800
2025-11-02,Grace,West,Electronics,Laptop,10,1200,12000
2025-05-23,Frank,North,Furniture,Bookshelf,5,180,900
2025-12-11,Grace,West,Office Supplies,Calculator,9,40,360
2025-08-08,Grace,South,Office Supplies,Paper,7,15,105
2025-01-21,Emily,East,Electronics,Keyboard,10,50,500
2025-02-17,Alice,South,Furniture,Bookshelf,1,180,180
2025-08-11,Emily,North,Office Supplies,Paper,8,15,120
2025-08-22,Carlos,North,Electronics,Laptop,7,1200,8400
2025-01-30,Henry,North,Electronics,Keyboard,10,50,500
2025-10-23,Carlos,East,Furniture,Desk,2,450,900
2025-10-11,Grace,South,Office Supplies,Paper,6,15,90
2025-09-14,Diana,East,Furniture,Desk,9,450,4050
2025-04-18,Brian,South,Electronics,Monitor,5,300,1500
2025-12-20,Brian,West,Electronics,Monitor,4,300,1200
2025-08-25,Frank,South,Electronics,Laptop,2,1200,2400
2025-09-04,Carlos,East,Office Supplies,Paper,5,15,75
2025-10-20,Emily,South,Electronics,Keyboard,10,50,500
2025-07-01,Grace,North,Furniture,Bookshelf,4,180,720
2025-08-23,Frank,East,Electronics,Keyboard,10,50,500
2025-07-25,Emily,South,Electronics,Keyboard,8,50,400
2025-04-24,Alice,West,Furniture,Bookshelf,5,180,900
2025-06-15,Brian,South,Office Supplies,Notebook,10,8,80
2025-04-17,Brian,East,Electronics,Printer,1,250,250
2025-11-02,Alice,North,Electronics,Mouse,1,35,35
2025-09-10,Emily,South,Electronics,Printer,9,250,2250
2025-11-17,Frank,South,Electronics,Mouse,7,35,245
2025-11-27,Henry,South,Furniture,Desk,3,450,1350
2025-01-11,Emily,East,Electronics,Keyboard,7,50,350
2025-03-30,Henry,West,Electronics,Mouse,10,35,350
2025-09-14,Frank,East,Furniture,Bookshelf,6,180,1080
2025-07-09,Brian,South,Furniture,Office Chair,1,220,220
2025-09-10,Grace,North,Electronics,Printer,3,250,750
2025-06-23,Alice,West,Office Supplies,Paper,1,15,15
2025-06-07,Brian,East,Furniture,Desk,4,450,1800
2025-04-26,Alice,South,Electronics,Laptop,7,1200,8400
2025-11-23,Brian,East,Office Supplies,Paper,2,15,30
2025-09-18,Emily,South,Furniture,Bookshelf,8,180,1440
2025-04-08,Diana,South,Office Supplies,Pen Pack,1,12,12
2025-11-29,Brian,East,Electronics,Laptop,5,1200,6000
2025-06-21,Grace,West,Electronics,Laptop,8,1200,9600
2025-11-11,Brian,South,Office Supplies,Calculator,4,40,160
2025-07-09,Henry,North,Electronics,Laptop,3,1200,3600
2025-05-11,Henry,East,Electronics,Keyboard,5,50,250
2025-06-19,Alice,South,Office Supplies,Calculator,4,40,160
2025-10-06,Frank,North,Electronics,Mouse,8,35,280
2025-08-28,Grace,North,Furniture,Office Chair,2,220,440
2025-07-24,Diana,East,Electronics,Printer,3,250,750
2025-05-24,Alice,North,Electronics,Mouse,4,35,140
2025-12-09,Brian,South,Office Supplies,Notebook,10,8,80
2025-09-08,Diana,South,Furniture,Bookshelf,10,180,1800
2025-10-04,Henry,South,Electronics,Keyboard,9,50,450
2025-06-15,Brian,South,Furniture,Bookshelf,4,180,720
2025-05-09,Brian,North,Office Supplies,Pen Pack,6,12,72
2025-11-13,Diana,South,Electronics,Keyboard,4,50,200
2025-02-08,Emily,West,Office Supplies,Notebook,9,8,72
2025-06-24,Alice,West,Furniture,Bookshelf,3,180,540
2025-04-20,Carlos,North,Office Supplies,Paper,10,15,150
2025-04-04,Grace,North,Furniture,Desk,3,450,1350
2025-07-17,Frank,East,Office Supplies,Paper,10,15,150
2025-06-28,Diana,West,Electronics,Printer,9,250,2250
2025-11-06,Carlos,North,Office Supplies,Notebook,1,8,8
2025-06-29,Carlos,West,Electronics,Printer,4,250,1000
2025-12-20,Alice,South,Electronics,Laptop,9,1200,10800
2025-10-21,Emily,North,Office Supplies,Pen Pack,9,12,108
2025-12-08,Alice,West,Electronics,Laptop,6,1200,7200
2025-02-11,Alice,South,Furniture,Bookshelf,3,180,540
2025-05-23,Grace,West,Office Supplies,Paper,1,15,15
2025-04-03,Grace,South,Office Supplies,Pen Pack,1,12,12
2025-05-21,Diana,West,Electronics,Mouse,8,35,280
2025-04-17,Henry,North,Furniture,Bookshelf,4,180,720
2025-02-11,Emily,North,Furniture,Desk,9,450,4050
2025-04-11,Grace,North,Furniture,Office Chair,1,220,220
2025-10-29,Frank,South,Office Supplies,Notebook,3,8,24
2025-03-02,Henry,West,Electronics,Keyboard,6,50,300
2025-02-14,Diana,East,Furniture,Bookshelf,7,180,1260
2025-09-25,Carlos,North,Office Supplies,Paper,10,15,150
2025-08-03,Brian,North,Furniture,Office Chair,4,220,880
2025-09-04,Henry,North,Electronics,Printer,6,250,1500
2025-05-18,Diana,South,Office Supplies,Pen Pack,6,12,72
2025-06-29,Brian,South,Furniture,Desk,3,450,1350
2025-04-19,Emily,South,Electronics,Monitor,2,300,600
2025-10-17,Grace,North,Furniture,Office Chair,5,220,1100
2025-04-16,Grace,East,Electronics,Monitor,1,300,300
2025-10-14,Diana,North,Office Supplies,Calculator,4,40,160
2025-04-14,Brian,West,Office Supplies,Paper,7,15,105
2025-10-21,Grace,East,Electronics,Keyboard,4,50,200
2025-06-20,Frank,North,Office Supplies,Calculator,9,40,360
2025-05-15,Brian,North,Electronics,Monitor,3,300,900
2025-05-20,Emily,East,Office Supplies,Calculator,5,40,200
2025-10-18,Henry,West,Office Supplies,Calculator,10,40,400
2025-04-05,Grace,East,Office Supplies,Calculator,9,40,360
2025-01-16,Henry,North,Furniture,Desk,3,450,1350
2025-08-13,Frank,South,Office Supplies,Pen Pack,8,12,96
2025-01-19,Diana,South,Office Supplies,Paper,1,15,15
2025-07-23,Emily,North,Furniture,Bookshelf,3,180,540
2025-07-29,Grace,West,Electronics,Keyboard,5,50,250
2025-08-29,Alice,West,Office Supplies,Paper,2,15,30
2025-12-22,Carlos,South,Office Supplies,Paper,2,15,30
2025-04-28,Alice,North,Furniture,Office Chair,4,220,880
2025-05-27,Henry,North,Furniture,Office Chair,9,220,1980
2025-03-21,Carlos,East,Electronics,Monitor,10,300,3000
2025-11-01,Frank,East,Furniture,Bookshelf,7,180,1260
2025-10-24,Emily,North,Electronics,Monitor,5,300,1500
2025-01-10,Grace,North,Furniture,Desk,1,450,450
2025-01-25,Alice,West,Electronics,Laptop,7,1200,8400
2025-10-12,Frank,South,Office Supplies,Paper,2,15,30
2025-04-08,Henry,West,Electronics,Mouse,4,35,140
2025-03-04,Grace,West,Furniture,Bookshelf,6,180,1080
2025-08-12,Frank,West,Office Supplies,Notebook,8,8,64
2025-10-19,Grace,North,Office Supplies,Notebook,4,8,32
2025-05-05,Brian,South,Electronics,Laptop,9,1200,10800
2025-04-22,Brian,South,Office Supplies,Notebook,10,8,80
